"2570","Merge Two 2D Arrays by Summing Values","merge-two-2d-arrays-by-summing-values","Easy"
"2441","Largest Positive Integer That Exists With Its Negative","largest-positive-integer-that-exists-with-its-negative","Easy"
"2311","Longest Binary Subsequence Less Than or Equal to K","longest-binary-subsequence-less-than-or-equal-to-k","Medium"
"2144","Minimum Cost of Buying Candies With Discount","minimum-cost-of-buying-candies-with-discount","Easy"
"2099","Find Subsequence of Length K With the Largest Sum","find-subsequence-of-length-k-with-the-largest-sum","Easy"
"2088","Count Fertile Pyramids in a Land","count-fertile-pyramids-in-a-land","Hard"
"1903","Largest Odd Number in String","largest-odd-number-in-string","Easy"
"2247","Maximum Cost of Trip With K Highways","maximum-cost-of-trip-with-k-highways","Hard"
"1878","Get Biggest Three Rhombus Sums in a Grid","get-biggest-three-rhombus-sums-in-a-grid","Medium"
"1845","Seat Reservation Manager","seat-reservation-manager","Medium"
"1771","Maximize Palindrome Length From Subsequences","maximize-palindrome-length-from-subsequences","Hard"
"1769","Minimum Number of Operations to Move All Balls to Each Box","minimum-number-of-operations-to-move-all-balls-to-each-box","Medium"
"1764","Form Array by Concatenating Subarrays of Another Array","form-array-by-concatenating-subarrays-of-another-array","Medium"
"1727","Largest Submatrix With Rearrangements","largest-submatrix-with-rearrangements","Medium"
"1698","Number of Distinct Substrings in a String","number-of-distinct-substrings-in-a-string","Medium"
"1735","Count Ways to Make Array With Product","count-ways-to-make-array-with-product","Hard"
"1612","Check If Two Expression Trees are Equivalent","check-if-two-expression-trees-are-equivalent","Medium"
"1621","Number of Sets of K Non-Overlapping Line Segments","number-of-sets-of-k-non-overlapping-line-segments","Medium"
"1605","Find Valid Matrix Given Row and Column Sums","find-valid-matrix-given-row-and-column-sums","Medium"
"1522","Diameter of N-Ary Tree","diameter-of-n-ary-tree","Medium"
"1516","Move Sub-Tree of N-Ary Tree","move-sub-tree-of-n-ary-tree","Hard"
"1540","Can Convert String in K Moves","can-convert-string-in-k-moves","Medium"
"1515","Best Position for a Service Centre","best-position-for-a-service-centre","Hard"
"1487","Making File Names Unique","making-file-names-unique","Medium"
"1493","Longest Subarray of 1's After Deleting One Element","longest-subarray-of-1s-after-deleting-one-element","Medium"
"1467","Probability of a Two Boxes Having The Same Number of Distinct Balls","probability-of-a-two-boxes-having-the-same-number-of-distinct-balls","Hard"
"1475","Final Prices With a Special Discount in a Shop","final-prices-with-a-special-discount-in-a-shop","Easy"
"1449","Form Largest Integer With Digits That Add up to Target","form-largest-integer-with-digits-that-add-up-to-target","Hard"
"1391","Check if There is a Valid Path in a Grid","check-if-there-is-a-valid-path-in-a-grid","Medium"
"1377","Frog Position After T Seconds","frog-position-after-t-seconds","Hard"
"1344","Angle Between Hands of a Clock","angle-between-hands-of-a-clock","Medium"
"1343","Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold","number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold","Medium"
"2269","Find the K-Beauty of a Number","find-the-k-beauty-of-a-number","Easy"
"1292","Maximum Side Length of a Square with Sum Less than or Equal to Threshold","maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold","Medium"
"1618","Maximum Font to Fit a Sentence in a Screen","maximum-font-to-fit-a-sentence-in-a-screen","Medium"
"2303","Calculate Amount Paid in Taxes","calculate-amount-paid-in-taxes","Easy"
"1218","Longest Arithmetic Subsequence of Given Difference","longest-arithmetic-subsequence-of-given-difference","Medium"
"1954","Minimum Garden Perimeter to Collect Enough Apples","minimum-garden-perimeter-to-collect-enough-apples","Medium"
"1169","Invalid Transactions","invalid-transactions","Medium"
"1246","Palindrome Removal","palindrome-removal","Hard"
"1273","Delete Tree Nodes","delete-tree-nodes","Medium"
"1106","Parsing A Boolean Expression","parsing-a-boolean-expression","Hard"
"1229","Meeting Scheduler","meeting-scheduler","Medium"
"1151","Minimum Swaps to Group All 1's Together","minimum-swaps-to-group-all-1s-together","Medium"
"898","Bitwise ORs of Subarrays","bitwise-ors-of-subarrays","Medium"
"882","Reachable Nodes In Subdivided Graph","reachable-nodes-in-subdivided-graph","Hard"
"840","Magic Squares In Grid","magic-squares-in-grid","Medium"
"622","Design Circular Queue","design-circular-queue","Medium"
"793","Preimage Size of Factorial Zeroes Function","preimage-size-of-factorial-zeroes-function","Hard"
"755","Pour Water","pour-water","Medium"
"573","Squirrel Simulation","squirrel-simulation","Medium"
"562","Longest Line of Consecutive One in Matrix","longest-line-of-consecutive-one-in-matrix","Medium"
"502","IPO","ipo","Hard"
"468","Validate IP Address","validate-ip-address","Medium"
"274","H-Index","h-index","Medium"

