Problem Number,Title,Slug,Internal ID,Difficulty,Paid Only,Favorite,Frequency
"3369","Design an Array Statistics Tracker ","design-an-array-statistics-tracker","3710","Hard","true","false","0"
"3353","Minimum Total Operations","minimum-total-operations","3694","Easy","true","false","0"
"3344","Maximum Sized Array","maximum-sized-array","3679","Medium","true","false","0"
"3370","Smallest Number With All Set Bits","smallest-number-with-all-set-bits","3676","Easy","false","false","0"
"3367","Maximize Sum of Weights after Edge Removals","maximize-sum-of-weights-after-edge-removals","3675","Hard","false","false","0"
"3357","Minimize the Maximum Adjacent Element Difference","minimize-the-maximum-adjacent-element-difference","3658","Hard","false","false","0"
"3366","Minimum Array Sum","minimum-array-sum","3654","Medium","false","false","0"
"3359","Find Sorted Submatrices With Maximum Element at Most K","find-sorted-submatrices-with-maximum-element-at-most-k","3652","Hard","true","false","0"
"3363","Find the Maximum Number of Fruits Collected","find-the-maximum-number-of-fruits-collected","3648","Hard","false","false","0"
"3362","Zero Array Transformation III","zero-array-transformation-iii","3647","Medium","false","false","0"
"3351","Sum of Good Subsequences","sum-of-good-subsequences","3646","Hard","false","false","0"
"3373","Maximize the Number of Target Nodes After Connecting Trees II","maximize-the-number-of-target-nodes-after-connecting-trees-ii","3645","Hard","false","false","0"
"3364","Minimum Positive Sum Subarray ","minimum-positive-sum-subarray","3644","Easy","false","false","0"
"3356","Zero Array Transformation II","zero-array-transformation-ii","3643","Medium","false","false","0"
"3347","Maximum Frequency of an Element After Performing Operations II","maximum-frequency-of-an-element-after-performing-operations-ii","3640","Hard","false","false","0"
"3355","Zero Array Transformation I","zero-array-transformation-i","3639","Medium","false","false","0"
"3343","Count Number of Balanced Permutations","count-number-of-balanced-permutations","3637","Hard","false","false","0"
"3340","Check Balanced String","check-balanced-string","3636","Easy","false","false","0"
"3348","Smallest Divisible Digit Product II","smallest-divisible-digit-product-ii","3635","Hard","false","false","0"
"3372","Maximize the Number of Target Nodes After Connecting Trees I","maximize-the-number-of-target-nodes-after-connecting-trees-i","3633","Medium","false","false","0"
"3352","Count K-Reducible Numbers Less Than N","count-k-reducible-numbers-less-than-n","3631","Hard","false","false","0"
"3337","Total Characters in String After Transformations II","total-characters-in-string-after-transformations-ii","3630","Hard","false","false","0"
"3335","Total Characters in String After Transformations I","total-characters-in-string-after-transformations-i","3629","Medium","false","false","0"
"3342","Find Minimum Time to Reach Last Room II","find-minimum-time-to-reach-last-room-ii","3628","Medium","false","false","0"
"3341","Find Minimum Time to Reach Last Room I","find-minimum-time-to-reach-last-room-i","3627","Medium","false","false","0"
"3345","Smallest Divisible Digit Product I","smallest-divisible-digit-product-i","3626","Easy","false","false","0"
"3360","Stone Removal Game","stone-removal-game","3625","Easy","false","false","0"
"3299","Sum of Consecutive Subsequences","sum-of-consecutive-subsequences","3623","Hard","true","false","0"
"3346","Maximum Frequency of an Element After Performing Operations I","maximum-frequency-of-an-element-after-performing-operations-i","3622","Medium","false","false","0"
"3350","Adjacent Increasing Subarrays Detection II","adjacent-increasing-subarrays-detection-ii","3619","Medium","false","false","0"
"3333","Find the Original Typed String II","find-the-original-typed-string-ii","3618","Hard","false","false","0"
"3330","Find the Original Typed String I","find-the-original-typed-string-i","3617","Easy","false","false","0"
"3354","Make Array Elements Equal to Zero","make-array-elements-equal-to-zero","3616","Easy","false","false","0"
"3294","Convert Doubly Linked List to Array II","convert-doubly-linked-list-to-array-ii","3615","Medium","true","false","0"
"3339","Find the Number of K-Even Arrays","find-the-number-of-k-even-arrays","3614","Medium","true","false","0"
"3349","Adjacent Increasing Subarrays Detection I","adjacent-increasing-subarrays-detection-i","3612","Easy","false","false","0"
"3315","Construct the Minimum Bitwise Array II","construct-the-minimum-bitwise-array-ii","3611","Medium","false","false","0"
"3318","Find X-Sum of All K-Long Subarrays I","find-x-sum-of-all-k-long-subarrays-i","3610","Easy","false","false","0"
"3336","Find the Number of Subsequences With Equal GCD","find-the-number-of-subsequences-with-equal-gcd","3608","Hard","false","false","0"
"3326","Minimum Division Operations to Make Array Non Decreasing","minimum-division-operations-to-make-array-non-decreasing","3607","Medium","false","false","0"
"3300","Minimum Element After Replacement With Digit Sum","minimum-element-after-replacement-with-digit-sum","3606","Easy","false","false","0"
"3314","Construct the Minimum Bitwise Array I","construct-the-minimum-bitwise-array-i","3605","Easy","false","false","0"
"3317","Find the Number of Possible Ways for an Event","find-the-number-of-possible-ways-for-an-event","3604","Hard","false","false","0"
"3327","Check if DFS Strings Are Palindromes","check-if-dfs-strings-are-palindromes","3603","Hard","false","false","0"
"3284","Sum of Consecutive Subarrays","sum-of-consecutive-subarrays","3602","Medium","true","false","0"
"3307","Find the K-th Character in String Game II","find-the-k-th-character-in-string-game-ii","3601","Hard","false","false","0"
"3304","Find the K-th Character in String Game I","find-the-k-th-character-in-string-game-i","3600","Easy","false","false","0"
"3365","Rearrange K Substrings to Form Target String","rearrange-k-substrings-to-form-target-string","3595","Medium","false","false","0"
"3371","Identify the Largest Outlier in an Array","identify-the-largest-outlier-in-an-array","3594","Medium","false","false","0"
"3334","Find the Maximum Factor Score of Array","find-the-maximum-factor-score-of-array","3593","Medium","false","false","0"
"3321","Find X-Sum of All K-Long Subarrays II","find-x-sum-of-all-k-long-subarrays-ii","3592","Hard","false","false","0"
