Problem Number,Title,Slug,Difficulty,Tags,Official Tags
1,Two Sum,two-sum,Easy,"Array, Hash Table","Array, Hash Table"
2,Add Two Numbers,add-two-numbers,Medium,"Linked List, Math","Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,"String, Sliding Window","Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,"Array, Binary Search","Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,"String, Dynamic Programming, Recursion","Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,zigzag-conversion,Medium,String,String
7,Reverse Integer,reverse-integer,Medium,Math,Math
8,String to Integer (atoi),string-to-integer-atoi,Medium,"String, Math",String
9,Palindrome Number,palindrome-number,Easy,"Math, String",Math
10,Regular Expression Matching,regular-expression-matching,Hard,"String, Dynamic Programming, Recursion","String, Dynamic Programming, Recursion"
11,Container With Most Water,container-with-most-water,Medium,"Array, Two Pointers","Array, Two Pointers, Greedy"
12,Integer to Roman,integer-to-roman,Medium,"Math, String","Hash Table, Math, String"
13,Roman to Integer,roman-to-integer,Easy,"String, Math","Hash Table, Math, String"
14,Longest Common Prefix,longest-common-prefix,Easy,String,"String, Trie"
15,3Sum,3sum,Medium,"Array, Two Pointers, Sorting","Array, Two Pointers, Sorting"
16,3Sum Closest,3sum-closest,Medium,"Array, Sorting, Two Pointers","Array, Two Pointers, Sorting"
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,"Backtracking, String, Enumeration","Hash Table, String, Backtracking"
18,4Sum,4sum,Medium,"Array, Sorting, Two Pointers","Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,"Linked List, Two Pointers","Linked List, Two Pointers"
20,Valid Parentheses,valid-parentheses,Easy,"String, Stack","String, Stack"
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,"Linked List, Merge Sort","Linked List, Recursion"
