Problem Number	Title	Slug	Difficulty	"Tags"
1	Two Sum	two-sum	Easy	"Array, Hash Table"
2	Add Two Numbers	add-two-numbers	Medium	"Linked List, Math"
3	Longest Substring Without Repeating Characters	longest-substring-without-repeating-characters	Medium	"String, Sliding Window"
4	Median of Two Sorted Arrays	median-of-two-sorted-arrays	Hard	"Array, Binary Search"
5	Longest Palindromic Substring	longest-palindromic-substring	Medium	"String, Dynamic Programming, Recursion"
6	Zigzag Conversion	zigzag-conversion	Medium	"String"
7	Reverse Integer	reverse-integer	Medium	"Math"
8	String to Integer (atoi)	string-to-integer-atoi	Medium	"String, Math"
9	Palindrome Number	palindrome-number	Easy	"Math, String"
10	Regular Expression Matching	regular-expression-matching	Hard	"String, Dynamic Programming, Recursion"
11	Container With Most Water	container-with-most-water	Medium	"Array, Two Pointers"
12	Integer to Roman	integer-to-roman	Medium	"Math, String"
13	Roman to Integer	roman-to-integer	Easy	"String, Math"
14	Longest Common Prefix	longest-common-prefix	Easy	"String"
15	3Sum	3sum	Medium	"Array, Two Pointers, Sorting"
16	3Sum Closest	3sum-closest	Medium	"Array, Sorting, Two Pointers"
17	Letter Combinations of a Phone Number	letter-combinations-of-a-phone-number	Medium	"Backtracking, String, Enumeration"
18	4Sum	4sum	Medium	"Array, Sorting, Two Pointers"
19	Remove Nth Node From End of List	remove-nth-node-from-end-of-list	Medium	"Linked List, Two Pointers"
20	Valid Parentheses	valid-parentheses	Easy	"String, Stack"
21	Merge Two Sorted Lists	merge-two-sorted-lists	Easy	"Linked List, Merge Sort"
22	Generate Parentheses	generate-parentheses	Medium	"Backtracking"
23	Merge k Sorted Lists	merge-k-sorted-lists	Hard	"Linked List, Merge Sort, Heap (Priority Queue)"
24	Swap Nodes in Pairs	swap-nodes-in-pairs	Medium	"Linked List"
25	Reverse Nodes in k-Group	reverse-nodes-in-k-group	Hard	"Linked List, Recursion"
26	Remove Duplicates from Sorted Array	remove-duplicates-from-sorted-array	Easy	"Array, Two Pointers"
27	Remove Element	remove-element	Easy	"Array, Two Pointers"
28	Find the Index of the First Occurrence in a String	find-the-index-of-the-first-occurrence-in-a-string	Easy	"String, String Matching"
29	Divide Two Integers	divide-two-integers	Medium	"Math"
30	Substring with Concatenation of All Words	substring-with-concatenation-of-all-words	Hard	"String, Hash Table, Sliding Window"
31	Next Permutation	next-permutation	Medium	"Array, String, Sorting"
32	Longest Valid Parentheses	longest-valid-parentheses	Hard	"String, Dynamic Programming, Stack"
33	Search in Rotated Sorted Array	search-in-rotated-sorted-array	Medium	"Array, Binary Search"
34	Find First and Last Position of Element in Sorted Array	find-first-and-last-position-of-element-in-sorted-array	Medium	"Array, Binary Search"
35	Search Insert Position	search-insert-position	Easy	"Array, Binary Search"
36	Valid Sudoku	valid-sudoku	Medium	"Array, Hash Table, Backtracking"
37	Sudoku Solver	sudoku-solver	Hard	"Backtracking, Matrix"
38	Count and Say	count-and-say	Medium	"String, Recursion"
39	Combination Sum	combination-sum	Medium	"Backtracking, Enumeration"
40	Combination Sum II	combination-sum-ii	Medium	"Backtracking, Enumeration, Sorting"
41	First Missing Positive	first-missing-positive	Hard	"Array, Hash Table, Sorting"
42	Trapping Rain Water	trapping-rain-water	Hard	"Array, Two Pointers, Dynamic Programming, Stack"
43	Multiply Strings	multiply-strings	Medium	"String, Math"
44	Wildcard Matching	wildcard-matching	Hard	"String, Dynamic Programming"
45	Jump Game II	jump-game-ii	Medium	"Array, Greedy, Dynamic Programming"
46	Permutations	permutations	Medium	"Array, Backtracking, Enumeration"
47	Permutations II	permutations-ii	Medium	"Backtracking, Enumeration"
48	Rotate Image	rotate-image	Medium	"Matrix, Array"
49	Group Anagrams	group-anagrams	Medium	"String, Hash Table"
50	Pow(x, n)	powx-n	Medium	"Math, Recursion, Dynamic Programming"
51	N-Queens	n-queens	Hard	"Backtracking"
52	N-Queens II	n-queens-ii	Hard	"Backtracking, Recursion"
53	Maximum Subarray	maximum-subarray	Medium	"Array, Dynamic Programming, Divide and Conquer"
54	Spiral Matrix	spiral-matrix	Medium	"Matrix, Simulation"
55	Jump Game	jump-game	Medium	"Array, Greedy, Dynamic Programming"
56	Merge Intervals	merge-intervals	Medium	"Array, Sorting, Greedy"
57	Insert Interval	insert-interval	Medium	"Array, Interval, Sorting"
58	Length of Last Word	length-of-last-word	Easy	"String"
59	Spiral Matrix II	spiral-matrix-ii	Medium	"Matrix, Simulation"
60	Permutation Sequence	permutation-sequence	Hard	"Backtracking, Enumeration"
61	Rotate List	rotate-list	Medium	"Linked List"
62	Unique Paths	unique-paths	Medium	"Dynamic Programming, Matrix"
63	Unique Paths II	unique-paths-ii	Medium	"Dynamic Programming, Matrix"
64	Minimum Path Sum	minimum-path-sum	Medium	"Matrix, Dynamic Programming, Greedy"
65	Valid Number	valid-number	Hard	"String"
66	Plus One	plus-one	Easy	"Array, Math"
67	Add Binary	add-binary	Easy	"String, Bit Manipulation"
68	Text Justification	text-justification	Hard	"String, Greedy"
69	Sqrt(x)	sqrtx	Easy	"Math, Binary Search"
70	Climbing Stairs	climbing-stairs	Easy	"Dynamic Programming, Recursion"
71	Simplify Path	simplify-path	Medium	"String, Stack"
72	Edit Distance	edit-distance	Medium	"String, Dynamic Programming"
73	Set Matrix Zeroes	set-matrix-zeroes	Medium	"Matrix, Array, Simulation"
74	Search a 2D Matrix	search-a-2d-matrix	Medium	"Array, Binary Search, Matrix"
75	Sort Colors	sort-colors	Medium	"Array, Sorting, Two Pointers"
76	Minimum Window Substring	minimum-window-substring	Hard	"String, Sliding Window, Hash Table"
77	Combinations	combinations	Medium	"Backtracking, Combinatorics"
78	Subsets	subsets	Medium	"Backtracking, Enumeration"
79	Word Search	word-search	Medium	"Backtracking, Depth-First Search"
80	Remove Duplicates from Sorted Array II	remove-duplicates-from-sorted-array-ii	Medium	"Array, Two Pointers"
81	Search in Rotated Sorted Array II	search-in-rotated-sorted-array-ii	Medium	"Array, Binary Search, Sorting"
82	Remove Duplicates from Sorted List II	remove-duplicates-from-sorted-list-ii	Medium	"Linked List"
83	Remove Duplicates from Sorted List	remove-duplicates-from-sorted-list	Easy	"Linked List"
84	Largest Rectangle in Histogram	largest-rectangle-in-histogram	Hard	"Array, Stack"
85	Maximal Rectangle	maximal-rectangle	Hard	"Matrix, Dynamic Programming, Stack"
86	Partition List	partition-list	Medium	"Linked List, Two Pointers"
87	Scramble String	scramble-string	Hard	"String, Recursion, Dynamic Programming"
88	Merge Sorted Array	merge-sorted-array	Easy	"Array, Sorting"
89	Gray Code	gray-code	Medium	"Bit Manipulation"
90	Subsets II	subsets-ii	Medium	"Backtracking, Enumeration"
91	Decode Ways	decode-ways	Medium	"Dynamic Programming, Recursion"
92	Reverse Linked List II	reverse-linked-list-ii	Medium	"Linked List, Recursion"
93	Restore IP Addresses	restore-ip-addresses	Medium	"String, Backtracking"
94	Binary Tree Inorder Traversal	binary-tree-inorder-traversal	Easy	"Binary Tree, Tree, Recursion, Depth-First Search"
95	Unique Binary Search Trees II	unique-binary-search-trees-ii	Medium	"Dynamic Programming, Binary Search Tree"
96	Unique Binary Search Trees	unique-binary-search-trees	Medium	"Dynamic Programming, Binary Search Tree"
97	Interleaving String	interleaving-string	Medium	"String, Dynamic Programming"
98	Validate Binary Search Tree	validate-binary-search-tree	Medium	"Binary Tree, Recursion, Depth-First Search"
